COUNTRY_ID,COUNTRY_NAME,REGION_ID
asM,Belgium,600
asN,China,600
asO,Japan,600
asP,Israel,600
asQ,Singapore,600
asR,Belgium,600
asS,Japan,600
asT,Germany,601
asU,Malaysia,601
asV,India,601
asW,France,601
asX,Argentina,601
asY,Israel,601
asZ,Singapore,602
ata,Israel,602
atb,Mexico,602
atc,Australia,602
atd,Brazil,602
ate,Israel,602
atf,France,603
atg,Australia,603
ath,Belgium,603
ati,United States of America,603
atj,Egypt,604
atk,Kuwait,604
atl,Belgium,604
atm,Malaysia,604
atn,Denmark,604
ato,Mexico,604
atp,Kuwait,605
atq,Mexico,605
atr,Germany,605
ats,Argentina,605
att,Israel,605
atu,Japan,605
atv,Zambia,606
atw,Canada,606
atx,United Kingdom,606
aty,France,606
atz,Mexico,606
atA,Egypt,606
atB,Canada,606
atC,Kuwait,606
atD,Netherlands,607
atE,Canada,607
atF,Israel,607
atG,Mexico,607
atH,Belgium,607
atI,Kuwait,607
atJ,Israel,608
atK,China,608
atL,Argentina,608
atM,Canada,608
atN,Australia,608
atO,Kuwait,609
atP,Denmark,609
atQ,France,609
atR,Argentina,609
atS,Belgium,609
atT,France,609
atU,Zimbabwe,610
atV,Egypt,610
atW,United States of America,610
atX,Malaysia,610
atY,Nigeria,610
atZ,Brazil,610
aua,Israel,610
aub,India,610
auc,Singapore,611
aud,India,611
aue,Netherlands,611
auf,Zimbabwe,611
aug,Canada,611
auh,Kuwait,611
aui,United States of America,611
auj,Mexico,611
auk,Malaysia,612
aul,Brazil,612
aum,Germany,612
aun,Belgium,612
auo,United States of America,612
aup,Germany,613
auq,Belgium,613
aur,China,613
aus,Denmark,613
aut,Zambia,613
auu,Canada,613
auv,Singapore,613
auw,Australia,614
aux,Nigeria,614
auy,Singapore,614
auz,Egypt,614
auA,Zambia,614
auB,Germany,615
auC,United States of America,615
auD,China,615
auE,Belgium,615
auF,United States of America,615
auG,Argentina,615
auH,Denmark,616
auI,United States of America,616
auJ,Israel,616
auK,China,616
auL,Egypt,616
auM,France,617
auN,Nigeria,617
auO,Belgium,617
auP,China,617
auQ,China,617
auR,Kuwait,618
auS,Brazil,618
auT,Australia,618
auU,India,618
auV,Switzerland,618
auW,France,618
auX,Israel,618
auY,Israel,619
auZ,Italy,619
ava,Argentina,619
avb,Israel,619
avc,Australia,619
avd,United Kingdom,619
ave,Germany,619
avf,Egypt,619
avg,United Kingdom,620
avh,Germany,620
avi,Brazil,620
avj,Nigeria,620
avk,Germany,620
avl,Belgium,620
avm,Egypt,620
avn,India,620
avo,United States of America,621
avp,Denmark,621
avq,Nigeria,621
avr,Israel,621
avs,Zambia,621
avt,United States of America,621
avu,China,622
avv,Argentina,622
avw,Mexico,622
avx,Switzerland,622
avy,Zambia,622
avz,Belgium,622
avA,Switzerland,622
avB,Singapore,622
avC,Egypt,623
avD,Israel,623
avE,Netherlands,623
avF,Argentina,623
avG,Japan,623
avH,China,623
avI,Egypt,624
avJ,Switzerland,624
avK,China,624
avL,Netherlands,624
avM,Zimbabwe,624
avN,Netherlands,624
avO,Kuwait,624
avP,Belgium,625
avQ,United States of America,625
avR,Brazil,625
avS,Canada,625
avT,Kuwait,625
avU,France,625
avV,Netherlands,625
avW,Zambia,626
avX,Netherlands,626
avY,Kuwait,626
avZ,Denmark,626
awa,Argentina,626
awb,Australia,626
awc,Kuwait,626
awd,Japan,627
awe,Italy,627
awf,Israel,627
awg,Egypt,627
awh,Australia,627
awi,China,628
awj,United States of America,628
awk,Germany,628
awl,Canada,628
awm,Singapore,628
awn,China,628
awo,China,629
awp,Nigeria,629
awq,China,629
awr,Kuwait,629
aws,Canada,629
awt,Canada,629
awu,Mexico,630
awv,India,630
aww,Belgium,630
awx,Canada,630
awy,China,630
awz,Denmark,630
awA,Germany,631
awB,China,631
awC,Israel,631
awD,Zambia,631
awE,Belgium,631
awF,Mexico,631
awG,Mexico,631
awH,Germany,632
awI,France,632
awJ,Egypt,632
awK,China,632
awL,China,632
awM,Italy,632
awN,Egypt,633
awO,Mexico,633
awP,Kuwait,633
awQ,Brazil,633
awR,Mexico,633
awS,Zimbabwe,633
awT,Israel,633
awU,France,634
awV,Singapore,634
awW,Mexico,634
awX,Denmark,634
awY,Switzerland,634
awZ,Zambia,634
axa,Australia,635
axb,Brazil,635
axc,Canada,635
axd,Germany,635
axe,Canada,635
axf,Australia,636
axg,Switzerland,636
axh,Netherlands,636
axi,Malaysia,636
axj,Canada,636
axk,France,636
axl,India,636
axm,Singapore,637
axn,Egypt,637
axo,Mexico,637
axp,Mexico,637
axq,Mexico,637
axr,Egypt,637
axs,United States of America,638
axt,Italy,638
axu,United States of America,638
axv,Australia,638
axw,Canada,638
axx,Argentina,638
axy,Kuwait,638
axz,Italy,639
axA,United States of America,639
axB,Mexico,639
axC,Brazil,639
axD,Brazil,639
axE,Germany,640
axF,Israel,640
axG,Brazil,640
axH,Australia,640
axI,Mexico,640
axJ,Argentina,640
axK,Italy,641
axL,Switzerland,641
axM,India,641
axN,Japan,641
axO,Italy,641
axP,India,641
axQ,China,641
axR,France,641
axS,Australia,642
axT,Mexico,642
axU,France,642
axV,Malaysia,642
axW,Belgium,642
axX,United States of America,642
axY,Singapore,642
axZ,Kuwait,643
aya,United States of America,643
ayb,France,643
ayc,Zambia,643
ayd,Nigeria,643
aye,Mexico,643
ayf,Argentina,643
ayg,Singapore,643
ayh,Israel,644
ayi,Australia,644
ayj,Malaysia,644
ayk,United Kingdom,644
ayl,Nigeria,644
aym,Netherlands,644
ayn,United Kingdom,644
ayo,United States of America,645
ayp,Nigeria,645
ayq,Australia,645
ayr,Denmark,645
ays,Switzerland,645
ayt,Malaysia,645
ayu,Italy,646
ayv,Zimbabwe,646
ayw,China,646
ayx,Mexico,646
ayy,Israel,646
ayz,Egypt,646
ayA,China,646
ayB,Mexico,647
ayC,Egypt,647
ayD,Nigeria,647
ayE,Japan,647
ayF,Belgium,647
ayG,Kuwait,647
ayH,Israel,647
ayI,Belgium,647
ayJ,Germany,648
ayK,Israel,648
ayL,Mexico,648
ayM,Brazil,648
ayN,Australia,648
ayO,Italy,649
ayP,Singapore,649
ayQ,France,649
ayR,Australia,649
ayS,Denmark,649
ayT,Brazil,649
ayU,Zimbabwe,649
ayV,Argentina,649
ayW,Netherlands,650
ayX,United States of America,650
ayY,Nigeria,650
ayZ,Germany,650
aza,Switzerland,650
azb,Italy,650
azc,India,651
azd,Mexico,651
aze,Italy,651
azf,Malaysia,651
azg,France,652
azh,Netherlands,652
azi,France,652
azj,Zambia,652
azk,Australia,652
azl,Israel,652
azm,Italy,653
azn,Brazil,653
azo,Zambia,653
azp,Israel,653
azq,Israel,653
azr,Denmark,653
azs,United States of America,654
azt,Kuwait,654
azu,France,654
azv,Kuwait,654
azw,Brazil,654
azx,Kuwait,654
azy,Netherlands,654
azz,Israel,655
azA,Nigeria,655
azB,United States of America,655
azC,Australia,655
azD,China,655
azE,Kuwait,655
azF,Israel,656
azG,Canada,656
azH,Canada,656
azI,Australia,656
azJ,Mexico,656
azK,Israel,656
azL,Switzerland,656
azM,Argentina,657
azN,Belgium,657
azO,Germany,657
azP,Australia,657
azQ,Switzerland,657
azR,Germany,657
azS,Australia,657
azT,Canada,658
azU,Zambia,658
azV,Italy,658
azW,Belgium,658
azX,Israel,658
azY,Mexico,658
azZ,Australia,658
aAa,Mexico,658
aAb,Canada,659
aAc,Denmark,659
aAd,Belgium,659
aAe,United Kingdom,659
aAf,United States of America,659
aAg,Switzerland,659
aAh,Singapore,659
aAi,United Kingdom,660
aAj,Mexico,660
aAk,United Kingdom,660
aAl,Malaysia,660
aAm,France,660
aAn,China,661
aAo,Germany,661
aAp,Brazil,661
aAq,France,661
aAr,Israel,661
aAs,Kuwait,661
aAt,Brazil,662
aAu,Zimbabwe,662
aAv,Singapore,662
aAw,United Kingdom,662
aAx,Australia,662
aAy,Netherlands,662
aAz,Australia,662
aAA,Zimbabwe,663
aAB,Zimbabwe,663
aAC,Canada,663
aAD,Egypt,663
aAE,Germany,663
aAF,Belgium,663
aAG,Italy,664
aAH,Singapore,664
aAI,United States of America,664
aAJ,Brazil,664
aAK,Mexico,664
aAL,Egypt,664
aAM,Netherlands,664
aAN,Italy,665
aAO,Israel,665
aAP,Mexico,665
aAQ,Germany,665
aAR,China,665
aAS,Brazil,665
aAT,Kuwait,665
aAU,Canada,666
aAV,Mexico,666
aAW,United Kingdom,666
aAX,Canada,666
aAY,United States of America,666
aAZ,Denmark,666
aBa,Kuwait,667
aBb,United States of America,667
aBc,Netherlands,667
aBd,India,667
aBe,Nigeria,667
aBf,Kuwait,667
aBg,Mexico,667
aBh,China,668
aBi,Kuwait,668
aBj,China,668
aBk,Mexico,668
aBl,Israel,668
aBm,Belgium,668
aBn,Nigeria,668
aBo,Netherlands,669
aBp,Brazil,669
aBq,Belgium,669
aBr,Brazil,669
aBs,Singapore,669
aBt,Switzerland,669
aBu,Egypt,669
aBv,Zambia,669
aBw,Malaysia,670
aBx,Malaysia,670
aBy,Australia,670
aBz,United States of America,670
aBA,United States of America,670
aBB,Mexico,670
aBC,Australia,670
aBD,Malaysia,671
aBE,Denmark,671
aBF,United States of America,671
aBG,Netherlands,671
aBH,United States of America,671
aBI,Australia,671
aBJ,United States of America,672
aBK,Zimbabwe,672
aBL,Canada,672
aBM,Netherlands,672
aBN,Malaysia,672
aBO,France,672
aBP,Egypt,673
aBQ,Zimbabwe,673
aBR,China,673
aBS,Kuwait,673
aBT,Australia,673
aBU,Canada,673
aBV,Argentina,673
aBW,Malaysia,674
aBX,Italy,674
aBY,Kuwait,674
aBZ,Malaysia,674
aCa,Malaysia,674
aCb,Netherlands,675
aCc,Zimbabwe,675
aCd,Australia,675
aCe,Australia,675
aCf,Netherlands,675
aCg,Malaysia,676
aCh,Germany,676
aCi,Belgium,676
aCj,Argentina,676
aCk,Nigeria,676
aCl,Nigeria,676
aCm,Zimbabwe,676
aCn,Japan,677
aCo,China,677
aCp,China,677
aCq,Zimbabwe,677
aCr,Mexico,677
aCs,Japan,677
aCt,France,677
aCu,Germany,677
aCv,China,678
aCw,Egypt,678
aCx,China,678
aCy,Argentina,679
aCz,Belgium,679
aCA,United States of America,679
aCB,Argentina,679
aCC,Netherlands,679
aCD,Italy,680
aCE,Netherlands,680
aCF,Argentina,680
aCG,Egypt,680
aCH,Egypt,680
aCI,Egypt,680
aCJ,China,681
aCK,Nigeria,681
aCL,France,681
aCM,Argentina,681
aCN,Italy,681
aCO,Argentina,682
aCP,China,682
aCQ,Belgium,682
aCR,Mexico,682
aCS,China,682
aCT,Italy,682
aCU,Egypt,682
aCV,United Kingdom,682
aCW,Egypt,683
aCX,Australia,683
aCY,Belgium,683
aCZ,Brazil,683
aDa,Israel,684
aDb,Nigeria,684
aDc,Japan,684
aDd,Zimbabwe,684
aDe,Brazil,684
aDf,Brazil,685
aDg,Malaysia,685
aDh,Netherlands,685
aDi,Belgium,685
