LOCATION_ID,ADDRESS,POSTAL_CODE,CITY,STATE,COUNTRY_ID
3477,Pieter Breughelstraat 837,80925,Utrecht,,asM
3478,Schwanthalerstr. 7031,01307-002,Seattle,Manchester,asN
3479,1298 Vileparle (E),11932,South Brunswick,BE,asN
3480,Murtenstrasse 921,540198,Sao Paulo,,asO
3481,9702 Chester Road,490231,Stretford,Washington,asQ
3482,Pieter Breughelstraat 837,540198,Sydney,"Distrito Federal,",asR
3483,Murtenstrasse 921,00989,London,BE,asT
3484,6092 Boxwood St,1730,Sao Paulo,New Jersey,asU
3485,Murtenstrasse 921,80925,Hiroshima,New Jersey,asX
3486,Pieter Breughelstraat 837,50090,Bern,Sao Paulo,asX
3487,8204 Arthur St,1730,Sao Paulo,Ontario,atb
3488,198 Clementi North,98199,Beijing,New Jersey,atb
3489,8204 Arthur St,6823,Tokyo,BE,ate
3490,40-5-12 Laogianggen,80925,Whitehorse,New South Wales,atf
3491,2011 Interiors Blvd,M5V 2L7,Singapore,Texas,atf
3492,8204 Arthur St,190518,Tokyo,New South Wales,atg
3493,Pieter Breughelstraat 837,26192,Bern,Sao Paulo,atg
3494,9450 Kamiya-cho,26192,Bern,Oxford,atp
3495,2011 Interiors Blvd,540198,London,Manchester,atq
3496,Pieter Breughelstraat 837,490231,Munich,Bavaria,atr
3497,40-5-12 Laogianggen,80925,Southlake,Washington,atr
3498,8204 Arthur St,2901,South San Francisco,Texas,ats
3499,20 Rue des Corps-Saints,01307-002,Southlake,Yukon,att
3500,2017 Shinjuku-ku,10934,Seattle,Geneve,atu
3501,1298 Vileparle (E),2901,Venice,Utrecht,atu
3502,Murtenstrasse 921,01307-002,Sao Paulo,,atu
3503,40-5-12 Laogianggen,OX9 9ZB,Singapore,,atv
3504,1298 Vileparle (E),09629850293,Stretford,,atw
3505,8204 Arthur St,11932,Tokyo,Oxford,atw
3506,Schwanthalerstr. 7031,99236,South Brunswick,New Jersey,atw
3507,2017 Shinjuku-ku,190518,Sydney,"Distrito Federal,",aty
3508,198 Clementi North,1689,Bern,Bavaria,atA
3509,12-98 Victoria Street,,Stretford,Texas,atA
3510,1298 Vileparle (E),01307-002,South San Francisco,,atA
3511,"Magdalen Centre, The Oxford Science Park",09629850293,South Brunswick,Bavaria,atC
3512,Schwanthalerstr. 7031,00989,Bombay,Maharashtra,atD
3513,198 Clementi North,2901,Sao Paulo,Maharashtra,atF
3514,40-5-12 Laogianggen,99236,Bern,Maharashtra,atG
3515,1298 Vileparle (E),3029SK,Beijing,Maharashtra,atH
3516,12-98 Victoria Street,11932,Bombay,Manchester,atI
3517,198 Clementi North,80925,Beijing,Tokyo Prefecture,atJ
3518,Rua Frei Caneca 1360 ,99236,Seattle,"Distrito Federal,",atJ
3519,198 Clementi North,80925,Munich,California,atK
3520,8204 Arthur St,490231,Singapore,New South Wales,atL
3521,Pieter Breughelstraat 837,10934,London,Bavaria,atM
3522,9702 Chester Road,99236,Toronto,,atM
3523,12-98 Victoria Street,490231,Mexico City,Texas,atO
3524,"Magdalen Centre, The Oxford Science Park",YSW 9T2,Stretford,Ontario,atP
3525,2007 Zagora St,190518,Utrecht,Maharashtra,atQ
3526,Pieter Breughelstraat 837,01307-002,Seattle,Bavaria,atS
3527,6092 Boxwood St,OX9 9ZB,South Brunswick,Washington,atT
3528,Rua Frei Caneca 1360 ,1730,Hiroshima,Tokyo Prefecture,atT
3529,2011 Interiors Blvd,80925,Singapore,Tokyo Prefecture,atT
3530,9450 Kamiya-cho,80925,South San Francisco,Washington,atX
3531,12-98 Victoria Street,190518,Tokyo,Manchester,atY
3532,2007 Zagora St,1689,Bombay,Sao Paulo,atZ
3533,Pieter Breughelstraat 837,490231,Beijing,Texas,atZ
3534,8204 Arthur St,490231,Oxford,,aua
3535,40-5-12 Laogianggen,11932,Stretford,Washington,auc
3536,40-5-12 Laogianggen,M5V 2L7,Mexico City,BE,aud
3537,8204 Arthur St,190518,Stretford,New Jersey,aud
3538,8204 Arthur St,OX9 9ZB,Munich,Ontario,aue
3539,Mariano Escobedo 9991,1689,Venice,Yukon,auf
3540,Mariano Escobedo 9991,,Mexico City,California,auj
3541,1297 Via Cola di Rie,1689,London,Bavaria,auj
3542,1298 Vileparle (E),1689,Bern,New South Wales,auk
3543,40-5-12 Laogianggen,M5V 2L7,Singapore,Maharashtra,aul
3544,198 Clementi North,00989,Mexico City,BE,aum
3545,2014 Jabberwocky Rd,50090,Tokyo,Sao Paulo,aun
3546,Rua Frei Caneca 1360 ,190518,Bern,BE,auo
3547,93091 Calle della Testa,1689,Sydney,"Distrito Federal,",aus
3548,9702 Chester Road,3095,Utrecht,BE,auB
3549,2007 Zagora St,1689,Munich,Manchester,auB
3550,"Magdalen Centre, The Oxford Science Park",3095,London,Tokyo Prefecture,auB
3551,9450 Kamiya-cho,11932,Hiroshima,Ontario,auC
3552,1298 Vileparle (E),10934,Seattle,New Jersey,auC
3553,Mariano Escobedo 9991,6823,Mexico City,Yukon,auE
3554,Murtenstrasse 921,01307-002,Beijing,New South Wales,auE
3555,Murtenstrasse 921,1689,South Brunswick,Yukon,auE
3556,Pieter Breughelstraat 837,09629850293,Mexico City,Yukon,auE
3557,Schwanthalerstr. 7031,1689,Venice,Maharashtra,auF
3558,8204 Arthur St,10934,Venice,,auG
3559,20 Rue des Corps-Saints,YSW 9T2,Seattle,Ontario,auH
3560,2017 Shinjuku-ku,50090,Southlake,"Distrito Federal,",auI
3561,Schwanthalerstr. 7031,10934,Seattle,Oxford,auJ
3562,"Magdalen Centre, The Oxford Science Park",190518,Sao Paulo,Ontario,auJ
3563,Schwanthalerstr. 7031,490231,Bern,Utrecht,auK
3564,2007 Zagora St,190518,Beijing,Tokyo Prefecture,auK
3565,12-98 Victoria Street,11932,Tokyo,Ontario,auL
3566,Rua Frei Caneca 1360 ,01307-002,Geneva,BE,auN
3567,198 Clementi North,09629850293,Singapore,Sao Paulo,auN
3568,Murtenstrasse 921,OX9 9ZB,Stretford,Tokyo Prefecture,auO
3569,12-98 Victoria Street,11932,South Brunswick,"Distrito Federal,",auP
3570,2014 Jabberwocky Rd,98199,Stretford,Oxford,auP
3571,20 Rue des Corps-Saints,09629850293,Stretford,Ontario,auQ
3572,6092 Boxwood St,490231,Hiroshima,Ontario,auQ
3573,"Magdalen Centre, The Oxford Science Park",50090,Hiroshima,Bavaria,auR
3574,"Magdalen Centre, The Oxford Science Park",01307-002,Tokyo,Tokyo Prefecture,auR
3575,Murtenstrasse 921,99236,Sydney,Tokyo Prefecture,auS
3576,2007 Zagora St,190518,Sao Paulo,Maharashtra,auT
3577,9702 Chester Road,490231,Seattle,Bavaria,auU
3578,1297 Via Cola di Rie,190518,Stretford,"Distrito Federal,",auU
3579,12-98 Victoria Street,490231,Southlake,,auV
3580,2004 Charade Rd,6823,Tokyo,Oxford,auX
3581,2017 Shinjuku-ku,540198,South San Francisco,Sao Paulo,auY
3582,198 Clementi North,09629850293,Sydney,New South Wales,avc
3583,"Magdalen Centre, The Oxford Science Park",190518,Geneva,Oxford,avh
3584,2007 Zagora St,1730,Toronto,Maharashtra,avj
3585,Schwanthalerstr. 7031,26192,Roma,Tokyo Prefecture,avl
