REGION_ID,REGION_NAME
600,Asia
601,Middle East and Africa
602,Europe
603,Asia
604,Middle East and Africa
605,Asia
606,Europe
607,Europe
608,Asia
609,Europe
610,Middle East and Africa
611,Americas
612,Middle East and Africa
613,Americas
614,Asia
615,Americas
616,Middle East and Africa
617,Americas
618,Middle East and Africa
619,Middle East and Africa
620,Middle East and Africa
621,Middle East and Africa
622,Asia
623,Americas
624,Asia
625,Americas
626,Middle East and Africa
627,Europe
628,Americas
629,Europe
630,Asia
631,Europe
632,Europe
633,Asia
634,Asia
635,Europe
636,Europe
637,Middle East and Africa
638,Asia
639,Europe
640,Middle East and Africa
641,Middle East and Africa
642,Asia
643,Asia
644,Asia
645,Middle East and Africa
646,Americas
647,Middle East and Africa
648,Europe
649,Europe
650,Americas
651,Europe
652,Asia
653,Europe
654,Europe
655,Europe
656,Europe
657,Asia
658,Americas
659,Asia
660,Asia
661,Europe
662,Middle East and Africa
663,Middle East and Africa
664,Europe
665,Americas
666,Americas
667,Europe
668,Americas
669,Middle East and Africa
670,Europe
671,Europe
672,Europe
673,Europe
674,Americas
675,Europe
676,Europe
677,Europe
678,Europe
679,Middle East and Africa
680,Europe
681,Americas
682,Americas
683,Asia
684,Middle East and Africa
685,Americas
686,Europe
687,Asia
688,Middle East and Africa
689,Asia
690,Middle East and Africa
691,Americas
692,Asia
693,Europe
694,Middle East and Africa
695,Americas
696,Middle East and Africa
697,Europe
698,Europe
699,Asia
700,Asia
701,Asia
702,Americas
703,Middle East and Africa
704,Europe
705,Americas
706,Americas
707,Middle East and Africa
708,Middle East and Africa
709,Europe
710,Americas
711,Americas
712,Americas
713,Middle East and Africa
714,Middle East and Africa
715,Middle East and Africa
716,Europe
717,Europe
718,Europe
719,Europe
720,Middle East and Africa
721,Europe
722,Middle East and Africa
723,Asia
724,Europe
725,Asia
726,Europe
727,Middle East and Africa
728,Europe
729,Middle East and Africa
730,Europe
731,Americas
732,Asia
733,Middle East and Africa
734,Europe
735,Americas
736,Asia
737,Middle East and Africa
738,Middle East and Africa
739,Middle East and Africa
740,Europe
741,Asia
742,Europe
743,Europe
744,Americas
745,Americas
746,Asia
747,Asia
748,Middle East and Africa
749,Asia
750,Europe
751,Middle East and Africa
752,Europe
753,Europe
754,Middle East and Africa
755,Europe
756,Europe
757,Americas
758,Middle East and Africa
759,Asia
760,Middle East and Africa
761,Americas
762,Middle East and Africa
763,Europe
764,Europe
765,Americas
766,Europe
767,Americas
768,Middle East and Africa
769,Middle East and Africa
770,Europe
771,Asia
772,Europe
773,Europe
774,Asia
775,Middle East and Africa
776,Europe
777,Europe
778,Middle East and Africa
779,Americas
780,Europe
781,Americas
782,Middle East and Africa
783,Middle East and Africa
784,Asia
785,Asia
786,Europe
787,Asia
788,Middle East and Africa
789,Middle East and Africa
790,Middle East and Africa
791,Europe
792,Middle East and Africa
793,Asia
794,Europe
795,Europe
796,Asia
797,Asia
798,Asia
799,Europe
800,Middle East and Africa
801,Americas
802,Asia
803,Middle East and Africa
804,Middle East and Africa
805,Europe
806,Europe
807,Europe
808,Asia
809,Americas
810,Asia
811,Europe
812,Asia
813,Europe
814,Americas
815,Asia
816,Europe
817,Europe
818,Middle East and Africa
819,Middle East and Africa
820,Middle East and Africa
821,Asia
822,Europe
823,Asia
824,Middle East and Africa
825,Europe
826,Europe
827,Middle East and Africa
828,Americas
829,Middle East and Africa
830,Asia
831,Asia
832,Europe
833,Middle East and Africa
834,Europe
835,Middle East and Africa
836,Asia
837,Asia
838,Europe
839,Europe
840,Middle East and Africa
841,Europe
842,Middle East and Africa
843,Europe
844,Europe
845,Europe
846,Europe
847,Europe
848,Middle East and Africa
849,Americas
850,Americas
851,Europe
852,Asia
853,Asia
854,Middle East and Africa
855,Europe
856,Europe
857,Middle East and Africa
858,Middle East and Africa
859,Europe
860,Americas
861,Europe
862,Middle East and Africa
863,Middle East and Africa
864,Europe
865,Americas
866,Europe
867,Europe
868,Europe
869,Asia
870,Americas
871,Americas
872,Middle East and Africa
873,Middle East and Africa
874,Europe
875,Americas
876,Americas
877,Middle East and Africa
878,Europe
879,Europe
880,Europe
881,Americas
882,Europe
883,Americas
884,Asia
885,Middle East and Africa
886,Americas
887,Middle East and Africa
888,Americas
889,Asia
890,Europe
891,Americas
892,Asia
893,Europe
894,Europe
895,Middle East and Africa
896,Asia
897,Europe
898,Americas
899,Middle East and Africa
900,Asia
901,Middle East and Africa
902,Europe
903,Europe
904,Middle East and Africa
905,Middle East and Africa
906,Middle East and Africa
907,Middle East and Africa
908,Europe
909,Middle East and Africa
910,Americas
911,Middle East and Africa
912,Europe
913,Americas
914,Europe
915,Middle East and Africa
916,Asia
917,Europe
918,Europe
919,Americas
920,Americas
921,Europe
922,Europe
923,Europe
924,Europe
925,Americas
926,Europe
927,Asia
928,Europe
929,Asia
930,Europe
931,Americas
932,Europe
933,Europe
934,Americas
935,Europe
936,Americas
937,Middle East and Africa
938,Asia
939,Middle East and Africa
940,Middle East and Africa
941,Europe
942,Europe
943,Europe
944,Middle East and Africa
945,Asia
946,Europe
947,Europe
948,Asia
949,Middle East and Africa
950,Europe
951,Asia
952,Europe
953,Middle East and Africa
954,Americas
955,Middle East and Africa
956,Europe
957,Americas
958,Asia
959,Europe
960,Americas
961,Americas
962,Europe
963,Europe
964,Americas
965,Americas
966,Asia
967,Europe
968,Americas
969,Middle East and Africa
970,Middle East and Africa
971,Europe
972,Asia
973,Asia
974,Europe
975,Americas
976,Middle East and Africa
977,Middle East and Africa
978,Middle East and Africa
979,Middle East and Africa
980,Europe
981,Middle East and Africa
982,Europe
983,Americas
984,Middle East and Africa
985,Americas
986,Europe
987,Asia
988,Asia
989,Asia
990,Middle East and Africa
991,Americas
992,Europe
993,Americas
994,Asia
995,Americas
996,Europe
997,Asia
998,Middle East and Africa
